begin,end,participant,utterance,translation,source,utterance_raw
00:01:33.740,00:01:36.200,Ric,Aoo angovi ɣase aoo vinjo thamauke va nyau yanle?,,/vamale1/vamaleE,Aoo angovi ɣase aoo vinjo thamauke va nyau yanle?
00:02:25.065,00:02:26.445,Rie,taɣua va thamauke ɲakoe va angovi ɣase.,,/vamale1/vamaleie,ua va thamauke ɲakoe v
00:02:26.385,00:02:27.925,Ric,Va vinjo taɣua daa thanga ɲakoe daa ɣase angovi,,/vamale1/vamale-vie,aa thanga ɲakoe daa ɣase
00:03:03.530,00:03:05.130,Rie,a nyau thapoke va ɲakoe,,/vamale1/vamale-MS,thapoke va ɲak
00:03:05.595,00:03:08.355,Ric,ɲakoe va ɣananda konaa va ɣananda vinjo ,,/vamale1/vamaleMS,ɣnaa va ɣananda vin
00:03:08.710,00:03:12.720,Rie,o ɣase va angovi angovi nea,,/vamale1/vamaleMS,va angovi angovi
00:03:12.950,00:03:16.760,Ric,au nyau aoo thamauke ɣase daa ya,,/vamale1/vamalen-MS,limyau aoo thamauke ɣase daaa
00:03:17.070,00:03:19.470,Rie,uke! Daa ɣananda thamauke va ɣase t,,/vamale1/vamaleMS,ke! Daa ɣananda tham
00:15:44.815,00:15:46.395,Ric,yanle konaa daa thamauke ɣananda va,,/vamale1/vamale4,konaa daa
00:26:03.605,00:26:05.345,Rie,ga nyau va vinjo konaa daa ɣanand,,/vamale1/vamale4,au va vinjo konaa daa ɣa
